,song-title,artist,release-age-approx,release-age-range,total-word-count,i-count,me-count,my-count,mine-count,myself-count,I-freq,1stsg-count,1stsg-freq,we-count,us-count,our-count,ours-count,ourselves-count,1stpl-count,1stpl-freq,you-count,your-count,yours-count,yourself-count,2ndsg-count,2ndsg-freq,diff-1stsg-1stpl,diff-1stsg-1stsg2ndsg,preposition_freq,prp_ALL_freq,noun-freq
0,fifteen.txt,Taylor Swift,19,2,397,8,0,0,1,0,0.020151133501259445,9,0.022670025188916875,2,0,0,0,0,2,0.005037783375314861,21,10,0,1,32,0.08060453400503778,0.017632241813602012,-0.06297229219143577,0.08060453400503778,0.11335012594458438,0.2040302267002519
1,change.txt,Taylor Swift,19,2,269,2,0,0,0,0,0.007434944237918215,2,0.007434944237918215,5,5,2,0,0,12,0.04460966542750929,8,2,0,0,10,0.03717472118959108,-0.03717472118959107,-0.07434944237918216,0.05947955390334572,0.12639405204460966,0.15985130111524162
2,the-best-day.txt,Taylor Swift,19,2,352,27,5,4,0,0,0.07670454545454546,36,0.10227272727272728,3,0,0,0,0,3,0.008522727272727272,11,3,0,0,14,0.03977272727272727,0.09375,0.053977272727272735,0.08806818181818182,0.07954545454545454,0.22443181818181818
3,mine.txt,Taylor Swift,21,3,403,15,5,3,5,1,0.03722084367245657,29,0.07196029776674938,6,0,1,0,0,7,0.017369727047146403,26,3,0,0,29,0.07196029776674938,0.05459057071960298,-0.0173697270471464,0.10173697270471464,0.14392059553349876,0.19602977667493796
4,the-lucky-one.txt,Taylor Swift,23,4,334,3,5,1,0,0,0.008982035928143712,9,0.02694610778443114,0,0,0,0,0,0,0.0,24,4,0,0,28,0.08383233532934131,0.02694610778443114,-0.05688622754491017,0.0688622754491018,0.1347305389221557,0.18562874251497005
5,state-of-grace.txt,Taylor Swift,23,4,266,7,1,1,0,0,0.02631578947368421,9,0.03383458646616541,7,0,2,0,0,9,0.03383458646616541,10,1,0,0,11,0.041353383458646614,0.0,-0.041353383458646614,0.07142857142857142,0.09398496240601503,0.18421052631578946
6,youre-not-sorry.txt,Taylor Swift,19,2,302,15,8,1,0,0,0.04966887417218543,24,0.07947019867549669,0,0,0,0,0,0,0.0,19,1,0,0,20,0.06622516556291391,0.07947019867549669,0.01324503311258278,0.0728476821192053,0.10264900662251655,0.12582781456953643
7,the-other-side-of-the-door.txt,Taylor Swift,19,2,375,35,5,4,0,0,0.09333333333333334,44,0.11733333333333333,1,0,0,0,0,1,0.0026666666666666666,20,2,0,0,22,0.058666666666666666,0.11466666666666667,0.056,0.11466666666666667,0.09333333333333334,0.2
8,the-moment-i-knew.txt,Taylor Swift,23,4,341,15,5,5,0,0,0.04398826979472141,25,0.07331378299120235,0,0,0,0,0,0,0.0,12,2,0,0,14,0.04105571847507331,0.07331378299120235,0.03225806451612904,0.09090909090909091,0.09090909090909091,0.1935483870967742
9,back-to-december.txt,Taylor Swift,21,3,426,24,11,6,3,1,0.056338028169014086,45,0.1056338028169014,2,0,0,0,0,2,0.004694835680751174,19,9,0,0,28,0.06572769953051644,0.10093896713615023,0.0352112676056338,0.07746478873239436,0.13145539906103287,0.20422535211267606
10,dear-john.txt,Taylor Swift,21,3,375,22,5,6,0,0,0.058666666666666666,33,0.088,0,0,0,0,0,0,0.0,19,7,0,0,26,0.06933333333333333,0.088,0.018666666666666665,0.07733333333333334,0.12533333333333332,0.19466666666666665
11,i-almost-do.txt,Taylor Swift,23,4,276,36,6,2,0,0,0.13043478260869565,44,0.15942028985507245,1,0,0,0,0,1,0.0036231884057971015,20,2,0,0,22,0.07971014492753623,0.15579710144927536,0.07608695652173912,0.09057971014492754,0.12681159420289856,0.19927536231884058
12,lover.txt,Taylor Swift,30,6,261,9,7,24,0,0,0.034482758620689655,40,0.1532567049808429,7,0,3,0,0,10,0.038314176245210725,11,1,1,0,13,0.04980842911877394,0.11494252873563218,0.06513409961685823,0.0421455938697318,0.20689655172413793,0.18773946360153257
13,the-outside.txt,Taylor Swift,17,1,234,15,4,0,0,0,0.0641025641025641,19,0.0811965811965812,0,0,0,0,0,0,0.0,8,0,0,0,8,0.03418803418803419,0.0811965811965812,0.04700854700854701,0.11538461538461539,0.05555555555555555,0.14957264957264957
14,no-body-no-crime.txt,Taylor Swift feat. HAIM ,31,7,376,28,3,3,1,0,0.07446808510638298,35,0.09308510638297872,1,0,1,0,0,2,0.005319148936170213,0,0,0,0,0,0.0,0.08776595744680851,0.08776595744680851,0.05851063829787234,0.19946808510638298,0.19680851063829788
15,begin-again.txt,Taylor Swift,23,4,336,19,1,3,0,0,0.05654761904761905,23,0.06845238095238096,2,0,0,0,0,2,0.005952380952380952,16,4,0,0,20,0.05952380952380952,0.0625,0.0029761904761904934,0.07738095238095238,0.1130952380952381,0.17857142857142858
16,hey-stephen.txt,Taylor Swift,19,2,403,32,3,1,0,7,0.0794044665012407,43,0.10669975186104218,2,0,0,0,0,2,0.004962779156327543,25,1,0,0,26,0.06451612903225806,0.10173697270471463,0.037220843672456566,0.08188585607940446,0.12903225806451613,0.21339950372208435
17,this-love.txt,Taylor Swift,25,5,382,6,6,4,0,0,0.015706806282722512,16,0.041884816753926704,0,0,0,0,0,0,0.0,10,2,0,0,12,0.031413612565445025,0.041884816753926704,0.01047120418848168,0.07591623036649214,0.07068062827225131,0.21204188481675393
