,song-title,artist,release-age-approx,release-age-range,total-word-count,i-count,me-count,my-count,mine-count,myself-count,I-freq,1stsg-count,1stsg-freq,we-count,us-count,our-count,ours-count,ourselves-count,1stpl-count,1stpl-freq,you-count,your-count,yours-count,yourself-count,2ndsg-count,2ndsg-freq,diff-1stsg-1stpl,diff-1stsg-1stsg2ndsg,preposition_freq,prp_ALL_freq,noun-freq
0,fifteen.txt,Taylor Swift,19,2,119,1,0,0,0,0,0.008403361344537815,1,0.008403361344537815,0,0,0,0,0,0,0.0,10,3,0,0,13,0.1092436974789916,0.008403361344537815,-0.10084033613445378,0.12605042016806722,0.13445378151260504,0.21008403361344538
1,superstar.txt,Taylor Swift,19,2,105,7,2,3,0,0,0.06666666666666667,12,0.11428571428571428,0,0,0,0,0,0,0.0,4,2,0,0,6,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.09523809523809523,0.10476190476190476,0.26666666666666666
2,change.txt,Taylor Swift,19,2,94,2,0,0,0,0,0.02127659574468085,2,0.02127659574468085,0,2,0,0,0,2,0.02127659574468085,5,0,0,0,5,0.05319148936170213,0.0,-0.05319148936170212,0.06382978723404255,0.11702127659574468,0.1595744680851064
3,the-best-day.txt,Taylor Swift,19,2,95,9,0,1,0,0,0.09473684210526316,10,0.10526315789473684,0,0,0,0,0,0,0.0,2,2,0,0,4,0.042105263157894736,0.10526315789473684,0.06315789473684211,0.10526315789473684,0.05263157894736842,0.2631578947368421
4,mine.txt,Taylor Swift,21,3,100,4,1,0,1,0,0.04,6,0.06,2,0,0,0,0,2,0.02,6,1,0,0,7,0.07,0.039999999999999994,-0.030000000000000013,0.11,0.14,0.21
5,the-lucky-one.txt,Taylor Swift,23,4,92,0,1,0,0,0,0.0,1,0.010869565217391304,0,0,0,0,0,0,0.0,6,0,0,0,6,0.06521739130434782,0.010869565217391304,-0.05434782608695652,0.10869565217391304,0.09782608695652174,0.22826086956521738
6,happiness.txt,Taylor Swift ,31,7,120,6,1,2,0,0,0.05,9,0.075,0,0,0,0,0,0,0.0,4,0,0,0,4,0.03333333333333333,0.075,0.041666666666666664,0.15,0.08333333333333333,0.20833333333333334
7,state-of-grace.txt,Taylor Swift,23,4,54,3,0,0,0,0,0.05555555555555555,3,0.05555555555555555,3,0,1,0,0,4,0.07407407407407407,1,0,0,0,1,0.018518518518518517,-0.018518518518518517,-0.037037037037037035,0.07407407407407407,0.1111111111111111,0.2037037037037037
8,youre-not-sorry.txt,Taylor Swift,19,2,97,5,3,0,0,0,0.05154639175257732,8,0.08247422680412371,0,0,0,0,0,0,0.0,6,0,0,0,6,0.061855670103092786,0.08247422680412371,0.020618556701030924,0.061855670103092786,0.09278350515463918,0.13402061855670103
9,champagne-problems.txt,Taylor Swift ,31,7,65,2,0,1,0,0,0.03076923076923077,3,0.046153846153846156,0,0,0,0,0,0,0.0,3,5,0,0,8,0.12307692307692308,0.046153846153846156,-0.07692307692307693,0.13846153846153847,0.15384615384615385,0.2923076923076923
10,the-other-side-of-the-door.txt,Taylor Swift,19,2,107,9,1,1,0,0,0.08411214953271028,11,0.102803738317757,0,0,0,0,0,0,0.0,6,0,0,0,6,0.056074766355140186,0.102803738317757,0.04672897196261682,0.12149532710280374,0.07476635514018691,0.205607476635514
11,the-lakes.txt,Taylor Swift ,31,7,62,2,2,3,0,0,0.03225806451612903,7,0.11290322580645161,0,0,0,0,0,0,0.0,1,0,0,0,1,0.016129032258064516,0.11290322580645161,0.0967741935483871,0.08064516129032258,0.11290322580645161,0.1935483870967742
12,gold-rush.txt,Taylor Swift ,31,7,169,9,1,3,0,0,0.05325443786982249,13,0.07692307692307693,1,0,0,0,0,1,0.005917159763313609,4,4,0,0,8,0.047337278106508875,0.07100591715976332,0.02366863905325444,0.15976331360946747,0.10650887573964497,0.24260355029585798
13,the-moment-i-knew.txt,Taylor Swift,23,4,123,5,1,3,0,0,0.04065040650406504,9,0.07317073170731707,0,0,0,0,0,0,0.0,4,0,0,0,4,0.032520325203252036,0.07317073170731707,0.04065040650406503,0.11382113821138211,0.08130081300813008,0.18699186991869918
14,back-to-december.txt,Taylor Swift,21,3,136,8,5,1,1,0,0.058823529411764705,15,0.11029411764705882,1,0,0,0,0,1,0.007352941176470588,6,3,0,0,9,0.0661764705882353,0.10294117647058823,0.036764705882352935,0.08088235294117647,0.14705882352941177,0.19852941176470587
15,willow.txt,Taylor Swift ,31,7,77,4,0,3,0,0,0.05194805194805195,7,0.09090909090909091,0,0,0,0,0,0,0.0,4,3,0,0,7,0.09090909090909091,0.09090909090909091,0.0,0.15584415584415584,0.14285714285714285,0.23376623376623376
16,i-think-he-knows.txt,Taylor Swift ,30,6,107,11,1,2,1,0,0.102803738317757,15,0.14018691588785046,0,0,0,0,0,0,0.0,1,0,0,0,1,0.009345794392523364,0.14018691588785046,0.1308411214953271,0.102803738317757,0.12149532710280374,0.27102803738317754
17,come-back-be-here.txt,Taylor Swift,23,4,112,7,0,1,0,1,0.0625,9,0.08035714285714286,0,0,0,0,0,0,0.0,5,1,0,0,6,0.05357142857142857,0.08035714285714286,0.026785714285714295,0.08928571428571429,0.08928571428571429,0.16964285714285715
18,cowboy-like-me.txt,Taylor Swift ,31,7,61,5,2,1,0,0,0.08196721311475409,8,0.13114754098360656,0,0,0,0,0,0,0.0,1,0,0,0,1,0.01639344262295082,0.13114754098360656,0.11475409836065574,0.06557377049180328,0.06557377049180328,0.18032786885245902
19,marjorie.txt,Taylor Swift ,31,7,74,3,1,1,0,0,0.04054054054054054,5,0.06756756756756757,0,0,0,0,0,0,0.0,4,0,0,0,4,0.05405405405405406,0.06756756756756757,0.013513513513513514,0.05405405405405406,0.08108108108108109,0.13513513513513514
20,treacherous.txt,Taylor Swift,23,4,64,5,0,0,1,0,0.078125,6,0.09375,0,0,0,0,0,0,0.0,2,2,0,0,4,0.0625,0.09375,0.03125,0.09375,0.109375,0.171875
21,dear-john.txt,Taylor Swift,21,3,124,8,2,4,0,0,0.06451612903225806,14,0.11290322580645161,0,0,0,0,0,0,0.0,6,1,0,0,7,0.056451612903225805,0.11290322580645161,0.056451612903225805,0.07258064516129033,0.12096774193548387,0.20161290322580644
22,i-almost-do.txt,Taylor Swift,23,4,80,11,2,0,0,0,0.1375,13,0.1625,0,0,0,0,0,0,0.0,5,1,0,0,6,0.075,0.1625,0.08750000000000001,0.1125,0.1125,0.225
23,paper-rings.txt,Taylor Swift ,30,6,163,11,2,1,0,0,0.06748466257668712,14,0.08588957055214724,2,0,0,0,0,2,0.012269938650306749,5,2,0,0,7,0.04294478527607362,0.0736196319018405,0.030674846625766874,0.10429447852760736,0.08588957055214724,0.24539877300613497
24,getaway-car.txt,Taylor Swift ,28,6,174,7,2,0,0,1,0.040229885057471264,10,0.05747126436781609,4,0,0,0,0,4,0.022988505747126436,4,2,0,0,6,0.034482758620689655,0.034482758620689655,0.0,0.08620689655172414,0.10919540229885058,0.23563218390804597
25,if-this-was-a-movie.txt,Taylor Swift,21,3,124,8,2,2,0,0,0.06451612903225806,12,0.0967741935483871,1,0,0,0,0,1,0.008064516129032258,6,0,0,0,6,0.04838709677419355,0.08870967741935484,0.04032258064516129,0.10483870967741936,0.0967741935483871,0.18548387096774194
26,lover.txt,Taylor Swift,30,6,68,2,2,4,0,0,0.029411764705882353,8,0.11764705882352941,3,0,1,0,0,4,0.058823529411764705,3,0,0,0,3,0.04411764705882353,0.058823529411764705,0.01470588235294118,0.014705882352941176,0.19117647058823528,0.19117647058823528
27,mad-woman.txt,Taylor Swift ,31,7,129,6,1,1,0,0,0.046511627906976744,8,0.06201550387596899,0,0,0,0,0,0,0.0,10,2,0,0,12,0.09302325581395349,0.06201550387596899,-0.031007751937984496,0.06976744186046512,0.15503875968992248,0.15503875968992248
28,a-perfectly-good-heart.txt,Taylor Swift,17,1,90,3,1,0,0,0,0.03333333333333333,4,0.044444444444444446,0,0,1,0,0,1,0.011111111111111112,6,1,0,0,7,0.07777777777777778,0.03333333333333333,-0.044444444444444446,0.05555555555555555,0.12222222222222222,0.13333333333333333
29,tim-mcgraw.txt,Taylor Swift,17,1,127,5,1,4,0,0,0.03937007874015748,10,0.07874015748031496,2,0,0,0,0,2,0.015748031496062992,6,1,0,0,7,0.05511811023622047,0.06299212598425197,0.007874015748031496,0.07874015748031496,0.12598425196850394,0.2440944881889764
30,teardrops-on-my-guitar.txt,Taylor Swift,17,1,120,11,4,1,0,0,0.09166666666666666,16,0.13333333333333333,1,0,0,0,0,1,0.008333333333333333,0,0,0,0,0,0.0,0.125,0.125,0.14166666666666666,0.09166666666666666,0.23333333333333334
31,cold-as-you.txt,Taylor Swift,17,1,85,4,2,0,0,0,0.047058823529411764,6,0.07058823529411765,0,0,0,0,0,0,0.0,8,0,0,0,8,0.09411764705882353,0.07058823529411765,-0.023529411764705882,0.08235294117647059,0.12941176470588237,0.1411764705882353
32,this-is-why-we-cant-have-nice-things.txt,Taylor Swift ,28,6,109,3,1,2,0,0,0.027522935779816515,6,0.05504587155963303,3,0,0,0,0,3,0.027522935779816515,5,0,0,0,5,0.045871559633027525,0.027522935779816515,-0.01834862385321101,0.07339449541284404,0.12844036697247707,0.1926605504587156
33,epiphany.txt,Taylor Swift ,31,7,52,3,0,0,0,0,0.057692307692307696,3,0.057692307692307696,0,0,0,0,0,0,0.0,5,3,0,0,8,0.15384615384615385,0.057692307692307696,-0.09615384615384616,0.07692307692307693,0.15384615384615385,0.15384615384615385
34,false-god.txt,Taylor Swift ,30,6,147,5,0,1,0,0,0.034013605442176874,6,0.04081632653061224,4,2,0,0,0,6,0.04081632653061224,5,2,0,0,7,0.047619047619047616,0.0,-0.04761904761904761,0.09523809523809523,0.1292517006802721,0.20408163265306123
35,the-outside.txt,Taylor Swift,17,1,93,10,1,0,0,0,0.10752688172043011,11,0.11827956989247312,0,0,0,0,0,0,0.0,1,0,0,0,1,0.010752688172043012,0.11827956989247312,0.10752688172043011,0.0967741935483871,0.021505376344086023,0.17204301075268819
36,no-body-no-crime.txt,Taylor Swift feat. HAIM ,31,7,128,11,0,2,1,0,0.0859375,14,0.109375,1,0,1,0,0,2,0.015625,0,0,0,0,0,0.0,0.09375,0.09375,0.078125,0.2109375,0.171875
37,begin-again.txt,Taylor Swift,23,4,134,10,1,2,0,0,0.07462686567164178,13,0.09701492537313433,0,0,0,0,0,0,0.0,7,1,0,0,8,0.05970149253731343,0.09701492537313433,0.0373134328358209,0.07462686567164178,0.12686567164179105,0.15671641791044777
38,dorothea.txt,Taylor Swift ,31,7,126,3,2,1,0,0,0.023809523809523808,6,0.047619047619047616,1,0,0,0,0,1,0.007936507936507936,8,1,0,0,9,0.07142857142857142,0.03968253968253968,-0.031746031746031744,0.1111111111111111,0.11904761904761904,0.20634920634920634
39,the-way-i-loved-you.txt,Taylor Swift,19,2,115,10,0,2,0,0,0.08695652173913043,12,0.10434782608695652,0,0,0,0,0,0,0.0,4,1,0,0,5,0.043478260869565216,0.10434782608695652,0.0608695652173913,0.06956521739130435,0.10434782608695652,0.1826086956521739
40,hey-stephen.txt,Taylor Swift,19,2,114,12,1,0,0,1,0.10526315789473684,14,0.12280701754385964,2,0,0,0,0,2,0.017543859649122806,5,1,0,0,6,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.08771929824561403,0.11403508771929824,0.24561403508771928
41,right-where-you-left-me.txt,Taylor Swift ,31,7,167,8,11,1,0,0,0.04790419161676647,20,0.11976047904191617,0,0,0,0,0,0,0.0,11,0,0,0,11,0.0658682634730539,0.11976047904191617,0.05389221556886227,0.04790419161676647,0.1497005988023952,0.19760479041916168
42,this-love.txt,Taylor Swift,25,5,91,3,1,0,0,0,0.03296703296703297,4,0.04395604395604396,0,0,0,0,0,0,0.0,3,0,0,0,3,0.03296703296703297,0.04395604395604396,0.010989010989010992,0.0989010989010989,0.054945054945054944,0.13186813186813187
43,illicit-affairs.txt,Taylor Swift ,31,7,85,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,3,3,0,1,7,0.08235294117647059,0.0,-0.08235294117647059,0.09411764705882353,0.11764705882352941,0.2
44,miss-americana-and-the-heartbreak-prince.txt,Taylor Swift ,30,6,150,6,3,4,0,0,0.04,13,0.08666666666666667,1,0,0,0,0,1,0.006666666666666667,10,0,0,0,10,0.06666666666666667,0.08,0.013333333333333336,0.08,0.12666666666666668,0.23333333333333334
45,i-know-places.txt,Taylor Swift ,25,5,113,6,0,1,0,0,0.05309734513274336,7,0.061946902654867256,5,1,0,0,0,6,0.05309734513274336,1,1,0,0,2,0.017699115044247787,0.008849557522123894,-0.008849557522123894,0.04424778761061947,0.1415929203539823,0.25663716814159293
46,cornelia-street.txt,Taylor Swift,30,6,122,7,0,0,0,0,0.05737704918032787,7,0.05737704918032787,3,1,0,0,0,4,0.03278688524590164,2,1,0,0,3,0.02459016393442623,0.02459016393442623,0.0,0.13114754098360656,0.06557377049180328,0.2459016393442623
47,closure.txt,Taylor Swift ,31,7,71,5,0,0,0,0,0.07042253521126761,5,0.07042253521126761,0,0,0,0,0,0,0.0,1,5,0,0,6,0.08450704225352113,0.07042253521126761,-0.014084507042253516,0.056338028169014086,0.1267605633802817,0.22535211267605634
48,id-lie.txt,Taylor Swift,17,1,109,10,3,0,0,0,0.09174311926605505,13,0.11926605504587157,0,0,0,0,0,0,0.0,2,0,0,0,2,0.01834862385321101,0.11926605504587157,0.10091743119266056,0.08256880733944955,0.2018348623853211,0.25688073394495414
